date,label,is_xmas
2024-12-24,Christmas Eve,1
2024-12-25,Christmas Day,1
2024-12-26,Boxing/St. Stephen,1
2024-12-31,New Year Eve,1
2025-01-01,New Year Day,1
2025-01-06,Epiphany,1
2025-12-24,Christmas Eve,1
2025-12-25,Christmas Day,1
2025-12-26,Boxing/St. Stephen,1
2025-12-31,New Year Eve,1
2026-01-01,New Year Day,1
2026-01-06,Epiphany,1
2026-12-24,Christmas Eve,1
2026-12-25,Christmas Day,1
2026-12-26,Boxing/St. Stephen,1
2026-12-31,New Year Eve,1
2027-01-01,New Year Day,1
2027-01-06,Epiphany,1
2027-12-24,Christmas Eve,1
2027-12-25,Christmas Day,1
2027-12-26,Boxing/St. Stephen,1
2027-12-31,New Year Eve,1
2028-01-01,New Year Day,1
2028-01-06,Epiphany,1
